atoll,name_dv,name_en,island_code,feature_code,longitude,latitude
N,ކެނދިކުޅުދޫ,Kendhikulhudhoo,D3,LD0866,73.415865,5.952637
N,ވެލިދޫ,Velidhoo,D15,LD0497,73.273385,5.664639
N,މާޅެންދޫ,Maalhendhoo,D5,LD0203,73.456116,5.902201
N,ކުޑަފަރި,Kudafari,D6,LD0391,73.400206,5.882891
N,ލަންދޫ,Landhoo,D7,LD0191,73.466181,5.88176
N,މާފަރު,Maafaru,D8,LD0560,73.475489,5.823887
N,ޅޮހި,Lhohi,D9,LD0500,73.377673,5.816178
N,މިލަދޫ,Miladhoo,D10,LD1068,73.362591,5.790467
N,މަގޫދޫ,Magoodhoo,D11,LD0907,73.362477,5.776473
N,މަނަދޫ,Manadhoo,D12,LD0392,73.410961,5.764838
N,ހޮޅުދޫ,Holhudhoo,D13,LD0455,73.249539,5.751248
N,ފޮއްދޫ,Fodhdhoo,D14,LD0332,73.215995,5.743756
R,އަލިފުށި,Alifushi,E1,LD0588,72.953384,5.967318
R,ވާދޫ,Vaadhoo,E2,LD0609,72.991446,5.856714
R,ރަސްގެތީމު,Rasgetheemu,E3,LD0178,73.002955,5.807684
R,އަނގޮޅިތީމު,Angolhitheemu,E4,LD0281,73.006637,5.792727
R,ހުޅުދުއްފާރު,Hulhudhuffaaru,E18,LD0600,73.012358,5.764998
R,އުނގޫފާރު,Ugoofaaru,E7,LD1175,73.030105,5.668217
R,ދުވާފަރު,Dhuvaafaru,E8,LD0790,73.041194,5.629808
R,މާކުރަތު,Maakurathu,E9,LD0180,73.044026,5.606249
R,ރަސްމާދޫ,Rasmaadhoo,E10,LD0423,73.043867,5.563093
R,އިންނަމާދޫ,Innamaadhoo,E11,LD0564,73.044536,5.549447
R,މަޑުއްވަރި,Maduvvari,E12,LD0573,72.895907,5.486192
R,އިނގުރައިދޫ,Inguraidhoo,E13,LD1121,73.0368,5.477065
R,މީދޫ,Meedhoo,E16,LD0605,72.955034,5.45818
R,ފައިނު,Fainu,E14,LD0924,73.034583,5.463451
R,ކިނޮޅަސް,Kinolhas,E17,LD0194,73.029309,5.448479
B,ކުޑަރިކިލު,Kudarikilu,F1,LD0059,73.070884,5.300395
B,ކަމަދޫ,Kamadhoo,F2,LD0518,73.136912,5.281931
B,ކެންދޫ,Kendhoo,F3,LD0668,73.010167,5.275379
B,ކިހާދޫ,Kihaadhoo,F6,LD0363,73.125054,5.215063
B,ދޮންފަނު,Dhonfanu,F7,LD0348,73.122851,5.187852
B,ދަރަވަންދޫ,Dharavandhoo,F8,LD0844,73.131026,5.15729
B,މާޅޮސް,Maalhos,F9,LD0637,73.107887,5.134612
B,އޭދަފުށި,Eydhafushi,F10,LD0204,73.070641,5.1026
B,ތުޅާދޫ,Thulhaadhoo,F12,LD0677,72.841177,5.021794
B,ހިތާދޫ,Hithaadhoo,F13,LD1000,72.922974,5.007197
B,ފުޅަދޫ,Fulhadhoo,F14,LD0044,72.931942,4.885299
B,ފެހެންދޫ,Fehendhoo,F15,LD0520,72.973234,4.880521
B,ގޮއިދޫ,Goidhoo,F16,LD0931,72.998897,4.873078
Lh,ހިންނަވަރު,Hinnavaru,G1,LD0340,73.41135,5.492583
Lh,ނައިފަރު,Naifaru,G2,LD0020,73.365218,5.444458
Lh,ކުރެންދޫ,Kurendhoo,G3,LD0510,73.463678,5.333846
Lh,އޮޅުވެލިފުށި,Olhuvelifushi,G4,LD0517,73.606762,5.278509
K,ކާށިދޫ,Kaashidhoo,H1,LD0665,73.459594,4.953421
